capture_artist_project_title,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12
T.S.O.L - THE TRIGGER COMPLEX,139,49,22,12,8,11,5,4,8,7,4,2
MANHATTAN TRANSFER & TAKE 6 - THE SUMMIT-LIVE ON SOUNDSTAGE,16,12,3,5,5,8,11,10,10,11,9,5
PRAYERS - BAPTISM OF THIEVES,124,38,24,16,13,12,4,12,6,11,13,9
ANNA TERNHEIM - ALL THE WAY TO RIO,112,122,50,27,26,23,19,23,21,24,16,18
FOR THE FALLEN DREAMS - SIX,368,75,40,66,90,82,54,52,37,42,49,38
GOLDFINGER - THE KNIFE,1165,315,181,119,96,70,62,55,58,51,25,33
"PETULA CLARK - I COULDN’T LIVE WITHOUT YOUR LOVE – HITS, CLASSICS & MORE",21,5,12,25,12,14,6,6,8,11,8,13
HOLY GHOST! & THE CHUCK DAVIS ORCHESTRA - ANXIOUS / SPIRIT OF SUNSHINE,40,20,5,8,4,6,5,5,6,3,3,4
URIAH HEEP - YOUR TURN TO REMEMBER: THE DEFINITIVE ANTHOLOGY 1970 – 1990,57,17,5,5,4,5,5,8,4,6,6,7
BLUES TRAVELER - HURRY UP & HANG AROUND,272,40,38,29,35,29,7,13,5,9,8,11
POHLMANN - WEGGEFäHRTEN,271,106,63,44,48,47,60,45,40,11,12,14
MIKE + THE MECHANICS - MIKE + THE MECHANICS,9,3,3,4,4,2,5,4,9,9,11,5
"EMERSON, LAKE & PALMER - WELCOME BACK MY FRIENDS, TO THE SHOW THAT NEVER ENDS - LADIES AND GENTLEMEN",12,8,9,9,5,11,8,12,7,44,53,19
DIO - ANGRY MACHINES,17,9,10,6,7,8,4,3,5,5,8,8
KEITH RICHARDS - MAIN OFFENDER,8,41,10,6,5,4,5,7,6,4,7,7
KREATOR - RENEWAL,43,13,8,7,3,5,1,2,3,2,7,2
DAVE HAUSE - BURY ME IN PHILLY,902,221,119,106,78,57,37,32,26,28,32,31
THE SHERLOCKS - LIVE FOR THE MOMENT,20,9,4,4,3,1,1,1,2,2,3,3
AT THE DRIVE-IN - IN•TER A•LI•A,3504,776,301,222,215,187,116,103,101,71,63,69
GILBERT O'SULLIVAN - GILBERT O'SULLIVAN,60,17,12,4,5,4,2,3,2,5,5,2
DEAD LETTER CIRCUS - DEAD LETTER CIRCUS,905,131,77,49,38,24,17,18,13,18,10,26
ERASURE - SINGLES - EBX4,36,11,8,12,11,12,2,5,1,1,2,1
FRANK IERO AND THE PATIENCE - PARACHUTES,988,519,84,69,63,34,26,52,33,140,59,37
VARIOUS ARTISTS - EXTEND THE 80S - CLUB,12,3,3,1,1,1,3,2,5,4,1,-1
GODSMACK - WHEN LEGENDS RISE,13094,3382,2042,1764,1352,1243,1076,1013,836,905,881,821
JASON ALDEAN - REARVIEW TOWN,27999,7052,3919,2954,2472,2293,2007,1733,1514,2113,1499,1475
BOY GEORGE & CULTURE CLUB - LIFE,1803,521,289,139,108,97,38,90,215,79,72,104
CHRIS REA - ROAD SONGS FOR LOVERS,1696,467,318,228,254,138,90,85,93,93,204,68
"EMERSON, LAKE & PALMER - IN THE HOT SEAT",16,10,5,8,9,4,3,5,3,6,0,3
KREATOR - PLEASURE TO KILL,5,29,31,12,9,8,9,10,3,6,7,4
SHED SEVEN - INSTANT PLEASURES,22,4,1,1,4,1,4,3,1,3,3,2
EARL - TONGUE TIED,442,80,53,47,24,16,18,31,27,14,7,10
BENJAMIN FRANCIS LEFTWICH - AFTER THE RAIN,7,4,1,3,1,6,1,1,3,3,2,1
ERIC BENET - ERIC BENET,6,5,5,4,4,2,1,6,3,6,1,4
GALACTIC EMPIRE - EPISODE II,481,63,48,50,26,26,15,24,15,19,23,10
"ECHO & THE BUNNYMEN - THE STARS, THE OCEANS & THE MOON",699,175,79,44,37,21,26,32,24,16,9,14
EIGHTEEN VISIONS - XVIII,503,76,44,28,22,13,18,16,8,14,10,6
CELTIC FROST - TO MEGA THERION,31,15,11,13,13,9,16,11,15,7,15,9
FERGIE - DOUBLE DUTCHESS,242,194,268,232,150,118,148,163,166,121,103,92
FISCHER-Z - BUILDING BRIDGES,93,35,21,13,18,12,11,16,4,13,10,6
GRANGER SMITH - WHEN THE GOOD GUYS WIN,5676,1105,516,390,329,280,206,207,295,183,176,168
DANCE GAVIN DANCE - MOTHERSHIP,3593,858,433,307,236,231,199,155,140,143,154,315
DUSTIN LYNCH - CURRENT MOOD,8497,1827,1253,912,739,567,484,485,1057,851,452,294
NICKELBACK - FEED THE MACHINE,27252,6584,3989,2649,2022,1748,1494,1286,1054,914,2032,1873
TILIAN - THE SKEPTIC,326,47,38,20,24,21,13,17,15,24,17,19
HINDER - WHEN THE SMOKE CLEARS,26,20,14,19,7,13,16,31,12,23,15,16
CARL PALMER'S ELP LEGACY - LIVE,32,8,4,6,5,6,3,2,5,4,1,3
AMANDA SHIRES - MY PIECE OF LAND,626,233,128,115,107,58,57,51,55,42,99,86
CASEY - WHERE I GO WHEN I AM SLEEPING,98,16,11,3,5,2,2,2,2,4,1,1
JETHRO TULL - JETHRO TULL - THE STRING QUARTETS,539,143,91,71,45,36,16,24,19,26,25,11
PLAY69 - BABYLON,647,115,59,46,22,12,14,16,13,10,13,21
RICHARD ASHCROFT - NATURAL REBEL,2552,518,225,143,94,61,63,57,92,114,65,59
"VARIOUS ARTISTS - MUSCLE SHOALS: SMALL TOWN, BIG SOUND",701,195,108,92,94,87,88,85,57,49,53,43
THE KINKS - ARTHUR OR THE DECLINE AND FALL OF THE BRITISH EMPIRE,182,13,7,7,8,3,3,2,5,2,8,4
CROWN THE EMPIRE - RETROGRADE,3926,956,508,423,343,266,263,216,172,145,138,137
VARIOUS ARTISTS - ELAINE PAIGE PRESENTS SHOWSTOPPERS FROM THE MUSICALS,205,99,55,22,26,16,8,7,5,2,4,4
BOB MARLEY & THE WAILERS - THE LEGEND LIVE - SANTA BARBARA COUNTY BOWL: NOVEMBER 25TH 1979,58,455,94,64,59,49,30,26,20,24,26,20
THOUSAND BELOW - THE LOVE YOU LET TOO CLOSE,558,107,63,41,37,28,28,21,16,19,19,24
SEVENDUST - ALL I SEE IS WAR,5615,1095,497,423,285,246,218,192,205,190,179,124
KREATOR - EXTREME AGGRESSION,5,23,28,15,10,4,9,6,4,12,3,8
THE BEAT - HARD TO BEAT,58,33,17,32,17,26,32,24,15,15,16,26
SIMPLY RED - SYMPHONICA IN ROSSO,673,190,108,86,88,88,55,47,40,35,24,28
DIO - KILLING THE DRAGON,33,16,10,7,8,10,12,1,5,8,6,10
KELE OKEREKE - FATHERLAND,159,36,25,11,7,13,13,3,4,4,6,6
THEO LAWRENCE & THE HEARTS - HOMEMADE LEMONADE,95,53,49,51,68,27,26,31,19,12,11,11
SUICIDE - SUICIDE,5,10,7,8,6,6,20,12,10,9,12,10
GRANDMASTER FLASH - GRANDMASTER FLASH PRESENTS: SALSOUL JAM 2000,1,9,9,14,2,15,7,12,6,9,8,5
VARIOUS ARTISTS - WEST END EDITS: MEDLAR,34,11,8,4,5,3,4,1,2,5,4,4
RSO - RISE,1496,248,91,68,60,63,53,39,43,51,40,106
METRIC - ART OF DOUBT,2106,491,287,233,179,170,140,132,146,124,82,79
GOLDFRAPP - BLACK CHERRY,10,9,6,5,6,4,8,10,3,4,4,1
DANCE GAVIN DANCE - ARTIFICIAL SELECTION,3122,516,310,215,167,149,148,104,95,87,76,66
THE BAMBOOS - NIGHT TIME PEOPLE,119,27,24,11,15,9,7,10,5,1,2,2
MIKE + THE MECHANICS - LIVING YEARS,5,6,6,5,5,12,7,15,8,11,20,18
DHANI HARRISON - IN///PARALLEL,128,81,74,45,48,32,35,27,19,11,20,14
SULLY ERNA - HOMETOWN LIFE,1121,235,156,135,129,78,78,86,42,33,28,27
AUSTIN MAHONE - THIS IS NOT THE ALBUM,173,82,60,49,39,31,33,32,146,129,34,21
ASH - ISLANDS,72,11,11,5,7,5,3,2,3,4,3,4
HOT WATER MUSIC - LIVE IN CHICAGO,44,11,14,6,9,10,8,3,3,3,3,2
GARY NUMAN - SAVAGE (SONGS FROM A BROKEN WORLD),3036,951,412,731,339,223,183,137,132,159,260,291
CARNAGE - BATTERED BRUISED & BLOODY,280,59,31,22,13,9,9,13,3,5,6,5
KATHARINE MCPHEE - LIVE ON SOUNDSTAGE,15,3,2,1,4,4,3,4,13,9,4,5
VARIOUS ARTISTS - LEVI ROOTS PRESENTS REGGAE REGGAE HITS,760,616,321,161,103,83,84,36,17,15,23,16
FRANCESCO GABBANI - MAGELLANO,54,34,27,29,29,39,32,18,24,31,31,12
REJJIE SNOW - DEAR ANNIE,335,83,56,44,40,61,32,30,29,25,13,14
LOREEN - RIDE,244,56,18,16,25,13,10,11,13,5,13,8
YOU ME AT SIX - NIGHT PEOPLE,937,168,58,54,43,32,23,31,27,56,28,26
HOT WATER MUSIC - NO DIVISION - EXPANDED EDITION,6,12,3,5,5,6,6,5,4,2,9,7
CABBAGE - THE EXTENDED PLAY OF CRUELTY,110,25,20,26,16,18,5,3,6,5,6,9
RICHARD CLAYDERMAN - THE VERY BEST OF RICHARD CLAYDERMAN,27,33,37,32,35,41,31,33,28,43,26,25
RAHEEM DEVAUGHN - DECADE OF A LOVE KING,550,274,146,112,97,90,63,49,83,82,45,48
MIKE + THE MECHANICS - THE ROAD,4,2,2,3,6,9,7,7,6,8,32,15
KATIE MELUA - ULTIMATE COLLECTION,801,355,167,285,405,263,132,118,137,104,101,114
KNUCKLE PUCK - SHAPESHIFTER,1101,247,131,85,69,54,43,44,34,39,61,54
DAVID CROSBY - SKY TRAILS,713,213,209,109,139,116,67,65,53,52,31,36
"EMERSON, LAKE & PALMER - EMERSON, LAKE & PALMER",47,29,7,7,7,15,3,10,19,17,4,10
CALI - CALI CHANTE LéO FERRé,83,20,11,15,11,15,7,3,13,3,4,2
NINA SIMONE - MOOD INDIGO: THE COMPLETE BETHLEHEM SINGLES,49,54,58,41,21,10,5,1,5,3,2,2
THE LIVING END - WUNDERBAR,687,118,93,74,63,52,44,19,13,11,12,17
ADVENTURE CLUB - RED // BLUE,1216,239,115,120,94,72,59,42,38,39,32,25
MIKE + THE MECHANICS - THE SINGLES 1985 - 2014 + RARITIES,23,22,28,42,48,52,42,48,68,46,89,66
FRANCESCO GABBANI - OCCIDENTALI'S KARMA - REMIXES,93,91,31,14,11,9,6,5,6,1,4,5
KATIE MELUA - IN WINTER,3518,1403,691,586,462,458,699,564,1132,1172,2427,380
THE RAVEN AGE - DARKNESS WILL RISE,510,127,69,46,38,27,29,32,21,31,35,39
IT PREVAILS - CAPTURE AND EMBRACE,5,7,3,1,1,3,2,2,1,1,1,3
VARIOUS ARTISTS - THE HIT FACTORY ULTIMATE COLLECTION,101,630,264,108,58,31,111,61,30,29,21,19
DAILEY & VINCENT - THE SOUNDS OF CHRISTMAS,58,22,36,42,34,46,47,88,63,53,86,4
MIKE LOVE - UNLEASH THE LOVE,117,36,26,27,10,15,9,4,5,6,4,4
NAZARETH - LOUD & PROUD! ANTHOLOGY,17,6,10,2,5,5,3,1,3,1,1,1
BALANCE AND COMPOSURE - LIGHT WE MADE,564,123,52,44,45,43,34,32,22,34,17,38
LINA - EGO,481,160,101,92,101,81,94,178,78,64,67,63
PER GESSLE - SMALL TOWN TALK,240,42,32,19,17,18,10,7,8,7,1,2
THE WATERBOYS - OUT OF ALL THIS BLUE,656,196,102,70,61,68,81,55,36,31,30,10
DUSTIN KENSRUE - MORE THOUGHTS THAT FLOAT ON A DIFFERENT BLOOD,187,42,20,16,20,11,13,15,9,10,6,8
MIKE + THE MECHANICS - THE SINGLES 1985 - 2014,21,19,27,26,36,38,34,53,52,38,61,53
BLINK-182 - CALIFORNIA,48363,17211,9223,5499,4418,3142,2806,4690,3791,5010,1661,1524
RICHARD CLAYDERMAN - THE ANDREW LLOYD WEBBER COLLECTION,4,3,7,2,2,3,2,1,3,2,2,1
"MOLOKO - ALL BACK TO THE MINE: VOL, 1: A COLLECTION OF REMIXES",12,13,4,1,2,6,5,3,8,5,4,1
"EMERSON, LAKE & PALMER - THE ANTHOLOGY",63,66,37,23,19,28,7,8,7,8,9,6
GOOD HARVEST - IN A LIFE AND PLACE LIKE THIS,80,12,9,10,7,1,7,4,2,4,4,4
VARIOUS ARTISTS - SALSOUL: THE CLUB REMIXES,84,29,10,12,8,14,7,8,5,4,9,5
WHITE LIES - FRIENDS,551,134,65,52,49,42,36,31,25,24,41,40
MADEINTYO - TRUE'S WORLD,828,204,111,48,43,47,22,24,18,11,11,16
MANDO DIAO - GOOD TIMES,1273,528,214,172,110,90,137,102,106,66,35,33
MORRISSEY - LOW IN HIGH SCHOOL,5941,836,477,259,281,260,194,144,149,137,118,104
"SONDASCHULE - SCHERE, STEIN, PAPIER (AKUSTIK ALBUM)",110,24,10,13,4,9,8,5,5,6,7,1
BLACK SABBATH - THE ULTIMATE COLLECTION,448,159,128,107,72,75,53,41,63,83,74,91
THE DEVIL WEARS PRADA - TRANSIT BLUES,2251,468,245,189,125,112,80,68,63,48,51,121
TINA DICO - FASTLAND,353,93,55,50,35,17,21,28,15,159,26,21
RICHARD CLAYDERMAN - STAGE MUSICAL FAVOURITES,8,9,1,4,5,6,4,4,2,4,5,1
VARIOUS ARTISTS - READY STEADY GO - THE SIXTIES,66,32,12,4,12,11,4,5,2,1,2,5
MIKE LOVE - REASON FOR THE SEASON,37,84,26,21,200,62,34,34,33,3,2,2
MAYER HAWTHORNE - MAN ABOUT TOWN,11,5,12,9,16,12,9,7,14,16,10,11
RAINHARD FENDRICH - SCHWARZODERWEISS,1143,312,268,179,121,92,80,50,70,42,46,173
CEZARY SKUBISZEWSKI - PICNIC AT HANGING ROCK,6,3,2,3,1,6,1,3,2,3,10,3
RSO - MAKING HISTORY,690,144,97,67,44,43,34,29,69,29,28,21
LE SOLDAT ROSE - LE SOLDAT ROSE à LA FABRIQUE DE JOUETS,133,51,44,54,60,31,16,8,6,10,7,16
"SONDASCHULE - SCHERE, STEIN, PAPIER",503,108,61,61,46,30,29,33,37,39,17,14
VARIOUS ARTISTS - SIR MICHAEL PARKINSON / OUR KIND OF MUSIC / THE GREAT AMERICAN SONGBOOK,141,70,24,12,59,7,5,2,4,1,1,7
NAKHANE - YOU WILL NOT DIE,14,16,13,6,8,3,1,9,10,8,4,3
MEMPHIS MAY FIRE - BROKEN,1221,249,95,107,90,81,81,61,70,67,63,39
NICK CAVE & THE BAD SEEDS - LOVELY CREATURES - THE BEST OF NICK CAVE AND THE BAD SEEDS (1984-2014),1091,332,179,149,143,102,117,108,84,53,50,59
LINDSAY ELL - THE CONTINUUM PROJECT,600,247,170,108,77,59,68,49,42,36,30,30
MADNESS - FULL HOUSE - THE VERY BEST OF MADNESS,337,192,76,36,36,83,53,25,50,46,52,32
BRING ME THE HORIZON - 2004 - 2013,20,8,9,5,5,4,6,6,4,4,6,6
KONTRA K - ERDE & KNOCHEN,6514,1411,913,661,617,556,526,391,309,246,299,285
DMA'S - FOR NOW,118,28,10,8,8,9,4,6,7,6,5,3
CHRIS ISAAK - CHRIS ISAAK CHRISTMAS LIVE ON SOUNDSTAGE,39,16,25,36,46,41,108,9,4,3,1,1
"EMERSON, LAKE & PALMER - WORKS VOLUME 2",155,16,8,7,10,11,5,7,10,4,4,3
KONTRA K - GUTE NACHT,8461,1712,994,635,492,516,613,394,484,394,280,297
MAYDAY PARADE - SUNNYLAND,1842,360,196,139,99,106,98,104,78,64,64,52
CAMO & KROOKED - MOSAIK,690,170,92,63,44,58,46,37,30,42,45,38
MICHAEL MCDONALD - SEASON OF PEACE - THE CHRISTMAS COLLECTION,51,16,15,11,15,68,73,183,120,220,134,7
MAKE THEM SUFFER - WORLDS APART,822,175,96,69,51,35,28,23,39,22,24,27
WATERS - SOMETHING MORE!,123,28,33,32,17,15,16,10,6,3,2,1
A PERFECT CIRCLE - EAT THE ELEPHANT,26241,4943,2349,1512,1165,976,813,770,707,623,472,415
RICHARD CLAYDERMAN - MOVIE FAVOURITES,23,8,18,7,13,9,9,8,7,6,8,4
"MAX GIESINGER - DER JUNGE, DER RENNT",14,42,78,83,119,131,106,93,93,79,93,87
"JENNIFER WARNES - ANOTHER TIME, ANOTHER PLACE",119,80,32,17,11,20,15,11,18,16,5,13
LINA - OFFICIAL,1,12,11,15,17,21,19,18,17,15,5,5
JIMMIE ALLEN - MERCURY LANE,764,397,268,362,257,297,222,174,153,193,223,130
TAKE ME TO RIO COLLECTIVE - TAKE ME TO RIO,362,272,201,66,29,28,21,16,15,8,3,4
THE MOVIELIFE - CITIES IN SEARCH OF A HEART,289,40,9,7,4,9,7,6,7,1,4,5
HERCULES & LOVE AFFAIR - OMNION,320,72,42,22,8,15,13,15,8,15,13,22
THE KINKS - THE KINK KONTROVERSY,94,12,5,7,8,3,3,3,5,4,2,3
CLARE BOWEN - CLARE BOWEN,269,54,30,15,10,4,6,4,7,8,4,2
MIDGE URE - ORCHESTRATED,1197,217,142,116,107,124,153,325,218,87,47,33
OF MICE & MEN - COLD WORLD,6088,963,553,407,314,239,193,369,135,119,120,91
BIG K.R.I.T. - 4EVA IS A MIGHTY LONG TIME,11510,3206,1563,1702,721,430,406,309,352,310,228,174
THE KINKS - FACE TO FACE,150,15,4,3,9,3,6,2,9,4,6,7
NICKI & FREDDI / THE SIXTIES - KU'DAMM 59,958,472,138,92,56,28,45,22,13,11,11,13
ALABAMA - AMERICAN CHRISTMAS,204,47,52,79,76,97,241,313,212,177,158,152
TOM MORELLO - THE ATLAS UNDERGROUND,357,64,29,28,16,13,14,22,11,5,8,10
"EMERSON, LAKE & PALMER - WELCOME BACK MY FRIENDS TO THE SHOW THAT NEVER ENDS - LADIES AND GENTLEMEN",159,26,10,14,9,5,6,11,9,22,29,13
